id_kks,value,session_date,session_id,cycle_id,tm_update
19,0.00015625,2020-05-28-16:06:45,6623,22,1590671227.94561
20,0.000107422,2020-05-28-16:06:45,6623,22,1590671227.9493
9,1.56156e-39,2020-05-28-16:06:45,6623,23,1590671228.95517
10,1.56228e-39,2020-05-28-16:06:45,6623,23,1590671228.97123
11,1.563e-39,2020-05-28-16:06:45,6623,23,1590671228.97527
12,1.56371e-39,2020-05-28-16:06:45,6623,23,1590671228.97931
13,-107501.0,2020-05-28-16:06:45,6623,23,1590671228.98378
14,-125.66,2020-05-28-16:06:45,6623,23,1590671228.98782
15,-110.424,2020-05-28-16:06:45,6623,23,1590671228.99168
16,-121.643,2020-05-28-16:06:45,6623,23,1590671228.9956
17,-0.000141602,2020-05-28-16:06:45,6623,23,1590671229.00007
18,-8.78906e-05,2020-05-28-16:06:45,6623,23,1590671229.00378
19,0.000219727,2020-05-28-16:06:45,6623,23,1590671229.00742
20,1.46484e-05,2020-05-28-16:06:45,6623,23,1590671229.01101
9,1.56156e-39,2020-05-28-16:06:45,6623,24,1590671230.01698
10,1.56228e-39,2020-05-28-16:06:45,6623,24,1590671230.03308
11,1.563e-39,2020-05-28-16:06:45,6623,24,1590671230.03716
12,1.56371e-39,2020-05-28-16:06:45,6623,24,1590671230.04105
13,-107501.0,2020-05-28-16:06:45,6623,24,1590671230.04556
14,-125.654,2020-05-28-16:06:45,6623,24,1590671230.04965
15,-110.422,2020-05-28-16:06:45,6623,24,1590671230.05352
16,-121.643,2020-05-28-16:06:45,6623,24,1590671230.05747
17,-0.000234375,2020-05-28-16:06:45,6623,24,1590671230.06217
18,0.000175781,2020-05-28-16:06:45,6623,24,1590671230.06609
19,0.000214844,2020-05-28-16:06:45,6623,24,1590671230.0698
20,8.30078e-05,2020-05-28-16:06:45,6623,24,1590671230.0735
9,1.56156e-39,2020-05-28-16:06:45,6623,25,1590671231.07995
10,1.56228e-39,2020-05-28-16:06:45,6623,25,1590671231.09652
11,1.563e-39,2020-05-28-16:06:45,6623,25,1590671231.10072
12,1.56371e-39,2020-05-28-16:06:45,6623,25,1590671231.10497
13,-107502.0,2020-05-28-16:06:45,6623,25,1590671231.10971
14,-125.671,2020-05-28-16:06:45,6623,25,1590671231.11308
15,-110.432,2020-05-28-16:06:45,6623,25,1590671231.11639
16,-121.637,2020-05-28-16:06:45,6623,25,1590671231.11939
17,-0.000288086,2020-05-28-16:06:45,6623,25,1590671231.12342
18,0.000317383,2020-05-28-16:06:45,6623,25,1590671231.12606
19,3.90625e-05,2020-05-28-16:06:45,6623,25,1590671231.1285
20,-7.32422e-05,2020-05-28-16:06:45,6623,25,1590671231.13109
9,1.56156e-39,2020-05-28-16:06:45,6623,26,1590671232.13591
10,1.56228e-39,2020-05-28-16:06:45,6623,26,1590671232.15091
11,1.563e-39,2020-05-28-16:06:45,6623,26,1590671232.15368
12,1.56371e-39,2020-05-28-16:06:45,6623,26,1590671232.1561
13,-107501.0,2020-05-28-16:06:45,6623,26,1590671232.1589
14,-125.665,2020-05-28-16:06:45,6623,26,1590671232.16727
15,-110.434,2020-05-28-16:06:45,6623,26,1590671232.16933
16,-121.645,2020-05-28-16:06:45,6623,26,1590671232.17144
17,0.00034668,2020-05-28-16:06:45,6623,26,1590671232.17431
18,-9.76563e-06,2020-05-28-16:06:45,6623,26,1590671232.17656
19,0.000424805,2020-05-28-16:06:45,6623,26,1590671232.17901
20,0.000161133,2020-05-28-16:06:45,6623,26,1590671232.18153
9,1.56156e-39,2020-05-28-16:06:45,6623,27,1590671233.18547
10,1.56228e-39,2020-05-28-16:06:45,6623,27,1590671233.20042
11,1.563e-39,2020-05-28-16:06:45,6623,27,1590671233.20316
12,1.56371e-39,2020-05-28-16:06:45,6623,27,1590671233.20595
13,-107500.0,2020-05-28-16:06:45,6623,27,1590671233.21254
